fixture_id,team_id,team_name,player_id,player_name,minutes_played,rating,goals,assists,shots_total,shots_on,passes_total,passes_accuracy,tackles,duels_total,duels_won,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red
1044887,83,Nantes,272460,Quentin Merlin,90.0,6.7,0,0,1,0,50,41,1,8,2,1,0,1,0,0
1044887,83,Nantes,21582,Florent Mollet,90.0,7.5,0,0,2,1,54,51,0,10,4,2,2,2,0,0
1044887,83,Nantes,2668,Mostafa Mohamed,88.0,7.2,1,0,2,1,15,11,0,14,6,1,0,3,0,0
1044887,83,Nantes,2781,Moses Simon,68.0,6.9,0,0,1,1,15,12,1,6,4,2,1,0,0,0
1044887,83,Nantes,271539,Jaouen Hadjam,30.0,6.2,0,0,0,0,13,11,1,2,1,0,0,0,0,0
1044887,83,Nantes,21484,Denis PetriÄ‡,23.0,6.3,0,0,0,0,5,4,0,0,0,0,0,0,0,0
1044887,83,Nantes,10036,Douglas Augusto,22.0,7,0,0,0,0,20,19,1,4,2,0,1,0,0,0
1044887,83,Nantes,84055,Abdoul Kader Bamba,22.0,6.9,0,0,1,1,7,5,0,5,3,1,2,0,0,0
1044887,83,Nantes,311520,Marquinhos,13.0,6.5,0,0,0,0,3,2,0,1,0,0,0,0,0,0
1044887,83,Nantes,196583,Yannis M'Bemba,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044887,83,Nantes,388777,Bastien Meupiyou,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044887,83,Nantes,119029,Lamine Diack,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044887,83,Nantes,179,Moussa Sissoko,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044887,96,Toulouse,325346,Guillaume Restes,90.0,7.3,0,0,0,0,23,19,0,1,1,0,1,0,0,0
1044887,96,Toulouse,39229,Mikkel Desler,90.0,7.3,0,0,0,0,51,49,3,8,7,1,3,0,0,0
